,Device Time,Value,Units
0,2024-12-20 14:11:27,74,mg/dL
1,2024-12-20 14:06:27,72,mg/dL
2,2024-12-20 14:01:27,70,mg/dL
3,2024-12-20 13:56:27,65,mg/dL
4,2024-12-20 13:51:28,62,mg/dL
5,2024-12-20 13:46:27,65,mg/dL
6,2024-12-20 13:41:27,68,mg/dL
7,2024-12-20 13:36:27,74,mg/dL
8,2024-12-20 13:31:28,80,mg/dL
9,2024-12-20 13:26:28,89,mg/dL
10,2024-12-20 13:21:27,102,mg/dL
11,2024-12-20 13:16:27,117,mg/dL
12,2024-12-20 13:11:27,134,mg/dL
13,2024-12-20 13:06:27,153,mg/dL
14,2024-12-20 13:01:28,170,mg/dL
15,2024-12-20 12:56:28,187,mg/dL
16,2024-12-20 12:51:29,204,mg/dL
17,2024-12-20 12:46:27,215,mg/dL
18,2024-12-20 12:41:27,224,mg/dL
19,2024-12-20 12:36:27,223,mg/dL
20,2024-12-20 12:31:27,224,mg/dL
21,2024-12-20 12:26:28,216,mg/dL
22,2024-12-20 12:21:27,205,mg/dL
23,2024-12-20 12:16:28,192,mg/dL
24,2024-12-20 12:11:27,179,mg/dL
25,2024-12-20 12:06:27,166,mg/dL
26,2024-12-20 12:01:28,158,mg/dL
27,2024-12-20 11:56:28,150,mg/dL
28,2024-12-20 11:51:28,144,mg/dL
29,2024-12-20 11:46:27,138,mg/dL
30,2024-12-20 11:41:27,137,mg/dL
31,2024-12-20 11:36:27,131,mg/dL
32,2024-12-20 11:31:27,126,mg/dL
33,2024-12-20 11:26:27,121,mg/dL
34,2024-12-20 11:21:27,115,mg/dL
35,2024-12-20 11:16:28,108,mg/dL
36,2024-12-20 11:11:27,104,mg/dL
37,2024-12-20 11:06:27,101,mg/dL
38,2024-12-20 11:01:27,99,mg/dL
39,2024-12-20 10:56:27,99,mg/dL
40,2024-12-20 10:51:28,99,mg/dL
41,2024-12-20 10:46:27,100,mg/dL
42,2024-12-20 10:41:28,102,mg/dL
43,2024-12-20 10:36:28,103,mg/dL
44,2024-12-20 10:31:27,106,mg/dL
45,2024-12-20 10:26:27,108,mg/dL
46,2024-12-20 10:21:28,111,mg/dL
47,2024-12-20 10:16:28,116,mg/dL
48,2024-12-20 10:11:28,119,mg/dL
49,2024-12-20 10:06:28,122,mg/dL
50,2024-12-20 10:01:28,125,mg/dL
51,2024-12-20 09:56:28,127,mg/dL
52,2024-12-20 09:51:28,130,mg/dL
53,2024-12-20 09:46:28,134,mg/dL
54,2024-12-20 09:41:28,138,mg/dL
55,2024-12-20 09:36:28,143,mg/dL
56,2024-12-20 09:31:28,150,mg/dL
57,2024-12-20 09:26:28,155,mg/dL
58,2024-12-20 09:21:28,160,mg/dL
59,2024-12-20 09:16:29,164,mg/dL
60,2024-12-20 09:11:28,165,mg/dL
61,2024-12-20 09:06:28,165,mg/dL
62,2024-12-20 09:01:28,166,mg/dL
63,2024-12-20 08:56:28,165,mg/dL
64,2024-12-20 08:51:30,168,mg/dL
65,2024-12-20 08:46:35,166,mg/dL
66,2024-12-20 08:41:36,187,mg/dL
67,2024-12-20 08:36:28,182,mg/dL
68,2024-12-20 08:31:28,167,mg/dL
69,2024-12-20 08:26:28,164,mg/dL
70,2024-12-20 08:21:28,164,mg/dL
71,2024-12-20 08:16:28,161,mg/dL
72,2024-12-20 08:11:29,150,mg/dL
73,2024-12-20 08:06:29,139,mg/dL
74,2024-12-20 08:01:29,126,mg/dL
75,2024-12-20 07:56:29,114,mg/dL
76,2024-12-20 07:51:29,106,mg/dL
77,2024-12-20 07:46:28,106,mg/dL
78,2024-12-20 07:41:29,103,mg/dL
79,2024-12-20 07:36:29,92,mg/dL
80,2024-12-20 07:31:29,81,mg/dL
81,2024-12-20 07:26:29,71,mg/dL
82,2024-12-20 07:21:30,57,mg/dL
83,2024-12-20 07:16:29,55,mg/dL
84,2024-12-20 07:11:30,60,mg/dL
85,2024-12-20 07:06:30,53,mg/dL
86,2024-12-20 07:01:29,78,mg/dL
87,2024-12-20 06:56:29,75,mg/dL
88,2024-12-20 06:51:29,72,mg/dL
89,2024-12-20 06:46:28,71,mg/dL
90,2024-12-20 06:41:28,70,mg/dL
91,2024-12-20 06:36:28,71,mg/dL
92,2024-12-20 06:31:28,73,mg/dL
93,2024-12-20 06:26:28,76,mg/dL
94,2024-12-20 06:21:28,75,mg/dL
95,2024-12-20 06:16:28,75,mg/dL
96,2024-12-20 06:11:31,75,mg/dL
97,2024-12-20 06:06:32,76,mg/dL
98,2024-12-20 06:01:32,78,mg/dL
99,2024-12-20 05:56:38,82,mg/dL
100,2024-12-20 05:51:33,86,mg/dL
101,2024-12-20 05:46:33,89,mg/dL
102,2024-12-20 05:41:34,93,mg/dL
103,2024-12-20 05:36:34,102,mg/dL
104,2024-12-20 05:31:34,96,mg/dL
105,2024-12-20 05:26:34,98,mg/dL
106,2024-12-20 05:21:34,106,mg/dL
107,2024-12-20 05:16:30,108,mg/dL
108,2024-12-20 05:11:29,110,mg/dL
109,2024-12-20 05:06:29,110,mg/dL
110,2024-12-20 05:01:29,110,mg/dL
111,2024-12-20 04:56:29,109,mg/dL
112,2024-12-20 04:51:29,108,mg/dL
113,2024-12-20 04:46:30,110,mg/dL
114,2024-12-20 04:41:30,110,mg/dL
115,2024-12-20 04:36:30,109,mg/dL
116,2024-12-20 04:31:30,108,mg/dL
117,2024-12-20 04:26:30,108,mg/dL
118,2024-12-20 04:21:30,107,mg/dL
119,2024-12-20 04:16:30,108,mg/dL
120,2024-12-20 04:11:33,108,mg/dL
121,2024-12-20 04:06:34,106,mg/dL
122,2024-12-20 04:01:29,101,mg/dL
123,2024-12-20 03:56:29,100,mg/dL
124,2024-12-20 03:51:29,101,mg/dL
125,2024-12-20 03:46:29,102,mg/dL
126,2024-12-20 03:41:29,102,mg/dL
127,2024-12-20 03:36:29,102,mg/dL
128,2024-12-20 03:31:29,102,mg/dL
129,2024-12-20 03:26:29,104,mg/dL
130,2024-12-20 03:21:29,105,mg/dL
131,2024-12-20 03:16:29,106,mg/dL
132,2024-12-20 03:11:29,107,mg/dL
133,2024-12-20 03:06:29,108,mg/dL
134,2024-12-20 03:01:30,107,mg/dL
135,2024-12-20 02:56:29,108,mg/dL
136,2024-12-20 02:51:29,110,mg/dL
137,2024-12-20 02:46:29,112,mg/dL
138,2024-12-20 02:41:30,118,mg/dL
139,2024-12-20 02:36:30,111,mg/dL
140,2024-12-20 02:31:29,132,mg/dL
141,2024-12-20 02:26:29,131,mg/dL
142,2024-12-20 02:21:29,129,mg/dL
143,2024-12-20 02:16:29,127,mg/dL
144,2024-12-20 02:11:29,125,mg/dL
145,2024-12-20 02:06:30,128,mg/dL
146,2024-12-20 02:01:29,131,mg/dL
147,2024-12-20 01:56:30,132,mg/dL
148,2024-12-20 01:51:29,131,mg/dL
149,2024-12-20 01:46:29,129,mg/dL
150,2024-12-20 01:41:29,125,mg/dL
151,2024-12-20 01:36:29,131,mg/dL
152,2024-12-20 01:31:29,137,mg/dL
153,2024-12-20 01:26:29,137,mg/dL
154,2024-12-20 01:21:29,135,mg/dL
155,2024-12-20 01:16:29,135,mg/dL
156,2024-12-20 01:11:29,134,mg/dL
157,2024-12-20 01:06:30,136,mg/dL
158,2024-12-20 01:01:29,134,mg/dL
159,2024-12-20 00:56:29,139,mg/dL
160,2024-12-20 00:51:29,139,mg/dL
161,2024-12-20 00:46:29,146,mg/dL
162,2024-12-20 00:41:29,160,mg/dL
163,2024-12-20 00:36:40,173,mg/dL
164,2024-12-20 00:31:29,186,mg/dL
165,2024-12-20 00:26:30,192,mg/dL
166,2024-12-20 00:21:29,190,mg/dL
167,2024-12-20 00:16:29,178,mg/dL
168,2024-12-20 00:11:29,166,mg/dL
169,2024-12-20 00:06:29,161,mg/dL
170,2024-12-20 00:01:30,159,mg/dL
171,2024-12-19 23:56:30,153,mg/dL
172,2024-12-19 23:51:30,148,mg/dL
173,2024-12-19 23:46:30,151,mg/dL
174,2024-12-19 23:41:30,153,mg/dL
175,2024-12-19 23:36:30,153,mg/dL
176,2024-12-19 23:31:30,150,mg/dL
177,2024-12-19 23:26:30,146,mg/dL
178,2024-12-19 23:21:31,139,mg/dL
179,2024-12-19 23:16:30,138,mg/dL
180,2024-12-19 23:11:30,144,mg/dL
181,2024-12-19 23:06:30,143,mg/dL
182,2024-12-19 23:01:30,148,mg/dL
183,2024-12-19 22:56:30,143,mg/dL
184,2024-12-19 22:51:30,132,mg/dL
